Loss= 0.04307353422790184
Accuracy= 0.9878000020980835

acc      val_acc         loss           val_loss
------------------------------------------------------------------
0.744    0.903           0.781          0.219
0.912    0.94            0.28           0.258
0.931    0.944           0.221          0.109
0.944    0.961           0.179          0.06
0.951    0.962           0.157          0.195
0.954    0.968           0.147          0.0443
0.957    0.971           0.138          0.119
0.96     0.967           0.128          0.0686
0.962    0.973           0.123          0.0481
0.964    0.974           0.114          0.234
0.965    0.974           0.116          0.00827
0.966    0.973           0.11           0.16
0.968    0.972           0.104          0.158
0.969    0.974           0.101          0.0969
0.97     0.978           0.0981          0.0276
0.97     0.979           0.0969          0.026
0.972    0.975           0.0921          0.167
0.972    0.979           0.0925          0.00774
0.971    0.972           0.0933          0.0755
0.972    0.979           0.0908          0.181
0.972    0.978           0.0912          0.129
0.973    0.975           0.0877          0.121
0.975    0.981           0.0828          0.0646
0.974    0.979           0.0844          0.0329
0.974    0.98            0.082           0.000632
0.976    0.98            0.0789          0.00978
0.975    0.982           0.0835          0.00358
0.975    0.981           0.0798          0.0251
0.976    0.98            0.0765          0.285
0.976    0.981           0.0767          0.0434
0.977    0.983           0.0766          0.00269
0.978    0.977           0.0737          0.00577
0.977    0.982           0.077           0.019
0.977    0.98            0.073           0.0202
0.978    0.978           0.0715          0.207
0.977    0.981           0.0756          0.00493
0.978    0.981           0.0726          0.00297
0.978    0.981           0.0706          0.00586
0.979    0.982           0.0695          0.256
0.979    0.984           0.0691          0.0535
0.978    0.983           0.0703          0.000206
0.979    0.985           0.0687          0.115
0.979    0.983           0.0686          0.123
0.979    0.983           0.0665          0.0437
0.979    0.983           0.0672          0.00853
0.98     0.985           0.0655          0.0352
0.98     0.98            0.0642          0.005
0.98     0.982           0.0657          0.0165
0.98     0.981           0.0647          0.0375
0.981    0.982           0.0627          0.0311
